Page,Assessment Name,URL,Remote Testing Support,Adaptive/IRT Support,Test Type
1,Account Manager Solution,https://www.shl.com/products/product-catalog/view/account-manager-solution/,Yes,Yes,"C
P
A
B"
1,Administrative Professional - Short Form,https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/,Yes,Yes,"A
K
P"
1,Agency Manager Solution,https://www.shl.com/products/product-catalog/view/agency-manager-solution/,Yes,Yes,"A
B
P
S"
1,Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,Yes,No,"B
P"
1,Apprentice 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,Yes,No,"B
P"
1,Bank Administrative Assistant - Short Form,https://www.shl.com/products/product-catalog/view/bank-administrative-assistant-short-form/,Yes,No,"A
B
K
P"
1,Bank Collections Agent - Short Form,https://www.shl.com/products/product-catalog/view/bank-collections-agent-short-form/,Yes,No,"A
B
P"
1,Bank Operations Supervisor - Short Form,https://www.shl.com/products/product-catalog/view/bank-operations-supervisor-short-form/,Yes,Yes,"A
B
P
S"
1,Bilingual Spanish Reservation Agent Solution,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,Yes,Yes,"B
P
S
A"
1,"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,Yes,Yes,"P
S
K
B
A"
1,Branch Manager - Short Form,https://www.shl.com/products/product-catalog/view/branch-manager-short-form/,Yes,No,"A
B
P"
1,Cashier Solution,https://www.shl.com/products/product-catalog/view/cashier-solution/,Yes,Yes,"B
A
P"
